X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
378476.26,2726272.63,1,102.0,54.750824,28.037117,199.64488,132.40163,123.19164,232.03705,252.98419,209.46428,166.31052,75.67912,100.11906,54.48314,28.68264,83.38423,88.99608,91.47054
387271.13,2713078.51,1,153.0,95.8203,25.89363,204.46553,167.40024,103.4572,233.1264,244.92094,236.78572,177.69502,86.040436,120.07614,82.57121,34.462902,92.97671,99.52162,82.79152
375945.37,2736287.04,1,136.0,143.73045,78.495094,191.34654,139.3518,113.52409,229.19998,230.81027,245.89285,164.02274,82.68898,118.566826,75.189316,41.22336,88.91785,102.43034,77.162125
386373.26,2715137.6,1,153.0,100.36121,30.410524,198.26941,158.12497,133.13013,234.02606,234.8419,236.78572,181.36858,82.7588,136.01236,91.0789,35.80933,94.62244,98.20531,84.25204
386395.22,2715069.74,1,153.0,101.52075,29.049612,201.95346,161.78313,126.159325,232.67989,234.8419,236.78572,181.68181,82.430916,136.51256,91.197296,35.800255,94.510925,98.03396,84.07724
386360.73,2714980.82,1,153.0,98.100464,27.411676,200.78532,162.73503,120.25268,229.67831,234.8419,236.78572,181.85039,82.243,136.67758,91.18801,35.769123,94.414215,97.96543,83.95301
385990.31,2718204.62,1,153.0,26.253857,73.23824,203.32382,149.09595,123.05757,233.85585,232.8261,232.23215,166.6203,90.39301,118.08418,78.052284,35.742676,95.47978,100.74336,90.63264
386006.01,2718059.91,1,153.0,31.95141,72.044716,203.68486,162.9129,119.482956,233.15794,228.79446,232.23215,167.35571,90.87865,118.28325,79.14547,35.849834,95.874504,101.14981,90.71634
375771.44,2736630.08,1,238.0,151.05386,90.019775,196.81343,145.96307,125.6852,226.8172,236.85771,245.89285,166.93747,83.73714,121.61565,80.193474,43.163986,90.37638,105.39373,78.90749
423807.17,2650675.62,1,187.0,140.82835,131.32982,202.32112,148.6374,104.69254,233.58116,238.87352,255.0,168.046,92.519554,127.21615,99.13104,47.882084,93.95358,123.02455,53.60348
430628.46,2785898.08,1,204.0,0.0,44.72002,203.01488,154.27094,110.152695,234.67435,212.66798,186.69643,141.66547,85.5433,84.00412,72.42561,24.080908,76.3017,112.18342,70.132545
429132.1,2786858.18,1,187.0,211.15788,0.0,199.21924,163.23647,91.311165,233.90102,184.44664,245.89285,139.5608,85.34355,84.07832,74.195816,24.293377,75.15817,110.75467,67.363335
425571.79,2788040.03,1,34.0,121.14512,116.843315,198.99153,174.94658,105.28933,232.52165,152.19368,232.23215,135.79805,85.56333,86.5995,93.54122,23.786362,76.362175,125.53087,69.286224
432170.75,2792058.47,1,204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432453.92,2792289.61,1,34.0,232.55385,17.0,200.92703,166.41393,105.46426,233.4234,176.3834,214.01785,139.02013,86.009056,134.75917,64.801674,23.559065,74.273674,100.44135,59.510365
432111.44,2792280.25,1,187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,176.3834,214.01785,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,58.46379
432111.44,2792280.25,1,187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,176.3834,214.01785,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,58.46379
432111.44,2792280.25,1,187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,176.3834,214.01785,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,58.46379
432172.48,2792401.76,1,187.0,224.76193,6.8,204.34148,171.04839,100.491615,234.63948,0.0,214.01785,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,58.66239
432172.48,2792401.76,1,187.0,224.76193,6.8,204.34148,171.04839,100.491615,234.63948,0.0,214.01785,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,58.66239
432202.52,2792368.38,1,187.0,227.30785,6.8,204.34148,171.04839,100.491615,234.63948,176.3834,214.01785,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,58.66239
432241.53,2792113.49,1,204.0,227.65088,10.2,201.09752,169.7955,92.13513,235.14468,176.3834,214.01785,137.05066,85.36946,130.4364,64.33384,23.395708,72.99629,99.31223,59.15529
432170.75,2792058.47,1,204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432170.75,2792058.47,1,204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432170.64,2792036.32,1,204.0,225.32535,6.8,203.18367,172.13329,100.66367,236.87296,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432170.64,2792036.32,1,204.0,225.32535,6.8,203.18367,172.13329,100.66367,236.87296,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432170.75,2792058.47,1,204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,180.41502,214.01785,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,58.90358
432271.63,2792091.19,1,204.0,227.865,10.2,201.2584,169.7955,92.13513,234.91711,176.3834,214.01785,137.05066,85.36946,130.4364,64.33384,23.395708,72.99629,99.31223,59.15529
432180.38,2791969.83,1,204.0,225.57054,7.602631,203.18367,172.13329,100.66367,236.87296,180.41502,209.46428,136.25966,85.09102,128.65598,64.15007,23.31917,72.45723,98.82121,58.996395
432051.57,2792391.29,1,187.0,222.2161,3.4,201.82494,168.47926,97.83146,235.21675,0.0,214.01785,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,58.396202
432051.57,2792391.29,1,187.0,222.2161,3.4,201.82494,168.47926,97.83146,235.21675,0.0,214.01785,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,58.396202
432061.47,2792358.02,1,187.0,222.2161,3.4,201.18918,168.47926,97.83146,233.88643,176.3834,214.01785,134.88467,84.98684,135.06438,63.227215,23.338438,71.374466,97.29491,58.396202
432402.34,2792046.24,1,34.0,232.94499,13.6,200.59753,169.40514,89.06825,236.70364,176.3834,214.01785,138.02087,85.625694,130.79654,64.66748,23.447166,73.669235,100.004585,59.400333
432015.95,2791317.29,1,204.0,225.12326,6.8,200.47923,154.6871,98.060875,235.41885,180.41502,209.46428,136.82396,84.4298,117.532074,64.71027,23.008844,72.62431,99.42029,59.072388
404100.61,2740484.27,1,153.0,176.11623,68.423676,200.6361,167.18893,118.63451,234.99658,196.5415,182.14285,154.60257,80.36693,105.11518,69.292046,39.34428,83.17921,127.65777,55.161148
404157.06,2740504.37,1,153.0,174.68896,66.97224,200.6361,172.43454,123.07181,234.99658,200.57312,182.14285,154.53836,80.41008,105.14264,69.32847,39.33641,83.26648,127.45056,55.189606
404196.77,2740091.21,1,153.0,183.88312,54.823353,206.6238,177.74121,140.06499,232.57855,196.5415,195.80357,155.29501,80.6266,105.686386,70.841644,39.439552,83.72667,127.45257,56.14449
404252.37,2740017.89,1,153.0,183.88312,53.218422,207.61555,183.75206,139.9386,233.58069,196.5415,195.80357,155.50307,80.85653,105.90159,71.33006,39.46578,84.073166,127.187744,56.50322
404182.17,2740231.33,1,153.0,178.95477,60.82105,205.426,176.12605,135.93013,233.27861,196.5415,191.25,154.80779,80.36116,105.329216,69.958084,39.371017,83.315025,127.54075,55.51858
403641.56,2740697.21,1,153.0,162.72118,80.60223,199.75424,183.02455,127.07976,229.54971,196.5415,182.14285,155.12291,81.98948,105.89514,68.83531,39.390152,84.41344,127.02309,55.801346
403664.38,2740736.47,1,153.0,161.27615,83.628944,200.79121,183.02455,127.07976,232.90138,196.5415,182.14285,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,55.88951
403683.62,2740741.88,1,153.0,161.27615,83.628944,201.94765,176.1524,126.412,232.68195,196.5415,182.14285,155.15694,82.315254,105.965065,68.692955,39.388535,84.700745,126.79236,55.88951
